Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax(TS - TP),Total Salary,Date,Time,Payment,Total Price,Rating,Day,Month,Year,Satisfaction
Giza,Member,Female,Fashion accessories,99.3,10,49.65,1042.65,2019-02-15,14:53:00,Credit card,993.0,6.6,Friday,February,2019,Not Satisfied
Alex,Normal,Male,Fashion accessories,98.97999999999999,10,49.49,1039.29,2019-02-08,16:20:00,Credit card,989.8,8.7,Friday,February,2019,Satisfied
Giza,Member,Female,Food and beverages,98.52000000000001,10,49.26,1034.46,2019-01-30,20:23:00,E-Wallet,985.2,4.5,Wednesday,January,2019,Not Satisfied
Giza,Normal,Male,Home and lifestyle,97.5,10,48.75,1023.75,2019-01-12,16:18:00,E-Wallet,975.0,8.0,Saturday,January,2019,Satisfied
Cairo,Normal,Female,Home and lifestyle,97.38,10,48.69,1022.49,2019-03-02,17:16:00,E-Wallet,973.8,4.4,Saturday,March,2019,Not Satisfied
Cairo,Normal,Female,Home and lifestyle,97.37,10,48.685,1022.385,2019-01-15,13:48:00,Credit card,973.7,4.9,Tuesday,January,2019,Not Satisfied
Giza,Member,Female,Fashion accessories,97.21000000000001,10,48.605,1020.7050000000002,2019-02-08,13:00:00,Credit card,972.1,8.7,Friday,February,2019,Satisfied
Giza,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.5899999999999,2019-01-16,13:32:00,Cash,955.8,4.8,Wednesday,January,2019,Not Satisfied
Giza,Normal,Female,Sports and travel,95.44,10,47.72,1002.12,2019-01-09,13:45:00,Cash,954.4,5.2,Wednesday,January,2019,Not Satisfied
Alex,Member,Female,Home and lifestyle,90.65,10,45.325,951.825,2019-03-08,10:53:00,E-Wallet,906.5,7.3,Friday,March,2019,Satisfied
Giza,Member,Male,Health and beauty,90.5,10,45.25,950.25,2019-01-25,13:48:00,Cash,905.0,8.1,Friday,January,2019,Satisfied
Cairo,Member,Female,Sports and travel,99.96,9,44.982,944.622,2019-03-09,17:26:00,Credit card,899.64,4.2,Saturday,March,2019,Not Satisfied
Giza,Member,Male,Fashion accessories,99.82,9,44.919,943.2989999999999,2019-03-27,10:43:00,Cash,898.38,6.6,Wednesday,March,2019,Not Satisfied
Giza,Member,Female,Sports and travel,89.8,10,44.9,942.9,2019-01-23,13:00:00,Credit card,898.0,5.4,Wednesday,January,2019,Not Satisfied
Cairo,Normal,Female,Electronic accessories,99.73,9,44.8785,942.4485000000001,2019-03-02,19:42:00,Credit card,897.57,6.5,Saturday,March,2019,Not Satisfied
Giza,Member,Female,Food and beverages,89.47999999999999,10,44.74,939.54,2019-01-06,12:46:00,Credit card,894.8,9.6,Sunday,January,2019,Satisfied
Giza,Normal,Male,Sports and travel,99.24,9,44.658,937.818,2019-03-19,19:09:00,E-Wallet,893.16,9.0,Tuesday,March,2019,Satisfied
Giza,Normal,Male,Food and beverages,89.2,10,44.6,936.6,2019-02-11,15:42:00,Credit card,892.0,4.4,Monday,February,2019,Not Satisfied
Giza,Member,Female,Food and beverages,98.97,9,44.5365,935.2665000000001,2019-03-09,11:23:00,Cash,890.73,6.7,Saturday,March,2019,Not Satisfied
Alex,Member,Female,Food and beverages,98.66000000000001,9,44.397,932.3370000000001,2019-02-19,15:07:00,Cash,887.94,8.4,Tuesday,February,2019,Satisfied
Alex,Member,Female,Electronic accessories,88.67,10,44.335,931.0350000000001,2019-01-12,14:50:00,E-Wallet,886.7,7.3,Saturday,January,2019,Satisfied
Alex,Normal,Male,Sports and travel,98.08999999999999,9,44.1405,926.9504999999999,2019-02-17,19:41:00,Cash,882.81,9.3,Sunday,February,2019,Satisfied
Cairo,Member,Female,Health and beauty,87.87,10,43.935,922.635,2019-03-29,10:25:00,E-Wallet,878.7,5.1,Friday,March,2019,Not Satisfied
